comment_text,toxic
Nobody likes you.,1
I learned something new from your post.,0
"Really, you are a terrible person.",1
What are the pros and cons of this solution?,0
"Stop posting here, loser.",1
Nobody likes you.,1
People like you shouldn't exist.,1
"Stop posting here, loser.",1
YOUR KIND DOESN'T BELONG HERE.,1
I hate you!,1
I'll make you pay for this.,1
GET OUT OF HERE.,1
You're absolutely pathetic.,1
"Really, you're absolutely pathetic.",1
Thank you for being so kind.,0
The weather is nice today. Please.,0
I believe in you.,0
I wish you would just go away.!!!,1
I'll make you pay for this.,1
You are amazing!,0
I can't stand you.,1
You disgust me.,1
This is a great day!,0
F*** you and everything you stand for.,1
I hate you!!!!,1
I believe in you.,0
Shut up and leave.,1
People like you shouldn't exist.,1
"Please, the weather is nice today.",0
"Please, can you share the document?",0
Nobody likes you.,1
"Really, shut up and leave.",1
I'm curious about your experience with this.,0
"Really, stop posting here, loser.",1
You're worthless.,1
You disgust me.,1
You are a terrible person.,1
Has anyone tried this approach before?,0
People like you shouldn't exist.,1
I think thank you for being so kind.,0
The weather is nice today.,0
You are amazing!,0
Nobody likes you.!!!,1
What do you think about this topic?,0
I'm going to find you.,1
How was your weekend?,0
You're going to regret this.,1
You can do this!,0
STAY IN YOUR OWN COUNTRY.,1
Nobody likes you.,1
Go to hell.,1
This is a great day! Please.,0
YOU PEOPLE ARE ALL THE SAME.,1
Keep up the good work!,0
"I disagree with your point, but I respect your opinion.",0
That's a really good point.,0
I think there might be a better approach to this.,0
You're absolutely pathetic.,1
You disgust me.,1
How was your weekend?,0
I believe in you.,0
I'm going to find you.,1
Thank you for being so kind.,0
I wish you would just go away.,1
I'm curious about your experience with this.,0
You can do this!,0
Could you provide more evidence for this claim? Please.,0
You can do this!,0
I learned something new from your post.,0
You can do this!,0
You better watch out.,1
I wish you would just go away.,1
"Really, stay in your own country.",1
You're going to regret this.!!!,1
"Please, keep up the good work!",0
"Really, go to hell.",1
YOU PEOPLE ARE ALL THE SAME.,1
YOU'RE GOING TO REGRET THIS.,1
You better watch out.,1
I love working with you.,0
Go kill yourself.!!!,1
You don't belong here.,1
Can you explain this better?,0
Can you share the document?,0
Thanks for the update.,0
You're absolutely pathetic.,1
What time does the meeting start?,0
Nobody likes you.,1
What are the pros and cons of this solution?,0
"Stop posting here, loser.",1
"Really, you're worthless.",1
How was your weekend?,0
Shut up and leave.,1
Could you provide more evidence for this claim?,0
YOU ARE A TERRIBLE PERSON.,1
