comment_text,toxic
You're worthless.,1
Thank you for being so kind.,0
I'll make you pay for this.!!!,1
Thanks for the update.,0
Shut up and leave.,1
Your kind doesn't belong here.,1
You are a terrible person.,1
"Stop posting here, loser.",1
I wish you would just go away.,1
I can't stand you.,1
"Really, you people are all the same.",1
I wish you would just go away.,1
You people are all the same.!!!,1
You better watch out.,1
The weather is nice today.,0
I'll be there in 10 minutes.,0
"Don't give up, you're doing great.",0
I'M GOING TO FIND YOU.,1
I'll make you pay for this.,1
What are the pros and cons of this solution?,0
You are a terrible person.,1
Go kill yourself.,1
That's a really good point.,0
Go kill yourself.,1
GET OUT OF HERE.,1
Keep up the good work!,0
I'm going to find you.,1
Stay in your own country.,1
I'll be there in 10 minutes.,0
I think i really appreciate your help.,0
I can't stand you.,1
You're worthless.,1
Can you share the document?,0
Get out of here.,1
Go kill yourself.,1
"Really, you're absolutely pathetic.",1
I can't stand you.!!!,1
That's a really good point.,0
You better watch out.,1
"Don't give up, you're doing great.",0
Has anyone tried this approach before?,0
I learned something new from your post.,0
Get out of here.,1
The weather is nice today.,0
YOU DISGUST ME.,1
I believe in you.,0
You are so stupid.,1
Can you explain this better?,0
F*** you and everything you stand for.,1
People like you shouldn't exist.!!!,1
I wish you would just go away.,1
I believe in you.,0
People like you shouldn't exist.,1
"Don't give up, you're doing great.",0
I think there might be a better approach to this.,0
I believe in you.,0
I really appreciate your help.,0
You better watch out.!!!,1
"Really, go to hell.",1
Can you share the document?,0
"Please, i think there might be a better approach to this.",0
You're such an idiot.,1
The weather is nice today.,0
"Really, you're such an idiot.",1
How was your weekend?,0
Well done!,0
Well done!,0
I think there might be a better approach to this.,0
I learned something new from your post.,0
"Don't give up, you're doing great.",0
You don't belong here.,1
F*** you and everything you stand for.,1
You disgust me.,1
STAY IN YOUR OWN COUNTRY.,1
I learned something new from your post. Please.,0
You're worthless.,1
You better watch out.,1
You're absolutely pathetic.,1
You better watch out.,1
How was your weekend?,0
You're worthless.,1
You're such an idiot.,1
Can you explain this better?,0
I'll be there in 10 minutes.,0
Could you provide more evidence for this claim?,0
I hate you!,1
I really appreciate your help. Please.,0
You're going to regret this.,1
Have you considered this alternative perspective?,0
You are a terrible person.,1
You're such an idiot.,1
I love working with you.,0
I wish you would just go away.,1
I learned something new from your post.,0
Shut up and leave.,1
What time does the meeting start?,0
"Really, i wish you would just go away.",1
How was your weekend?,0
I really appreciate your help.,0
You better watch out.,1
You're worthless.,1
Your kind doesn't belong here.,1
Have you considered this alternative perspective?,0
"Please, keep up the good work!",0
You people are all the same.,1
I'll make you pay for this.,1
YOU PEOPLE ARE ALL THE SAME.,1
Can you share the document?,0
"Stop posting here, loser.",1
I think i really appreciate your help.,0
Nobody likes you.,1
Go kill yourself.,1
You don't belong here.,1
People like you shouldn't exist.,1
I'll make you pay for this.,1
Stay in your own country.!!!,1
Could you provide more evidence for this claim?,0
You're such an idiot.,1
"Really, you're such an idiot.",1
You're such an idiot.!!!,1
You disgust me.,1
"I disagree with your point, but I respect your opinion.",0
Could you provide more evidence for this claim?,0
Have you considered this alternative perspective?,0
I wish you would just go away.,1
I'll be there in 10 minutes.,0
Thank you for being so kind.,0
You can do this!,0
I believe in you.,0
"I disagree with your point, but I respect your opinion.",0
I love working with you.,0
I believe in you.,0
Nobody likes you.,1
Can you share the document? Please.,0
I wish you would just go away.,1
Go to hell.!!!,1
Can you explain this better?,0
You are amazing!,0
That's a really good point. Please.,0
I think can you share the document?,0
"Don't give up, you're doing great.",0
I learned something new from your post.,0
People like you shouldn't exist.,1
You are amazing!,0
Has anyone tried this approach before?,0
You disgust me.,1
What time does the meeting start?,0
I learned something new from your post.,0
"Stop posting here, loser.",1
The weather is nice today.,0
Go kill yourself.,1
This is a great day!,0
Can you explain this better?,0
You disgust me.,1
I'll be there in 10 minutes.,0
Have you considered this alternative perspective?,0
I wish you would just go away.,1
Get out of here.,1
I think what do you think about this topic?,0
I'm going to find you.,1
Can you share the document?,0
Your kind doesn't belong here.,1
What time does the meeting start?,0
"Stop posting here, loser.",1
I love working with you.,0
I wish you would just go away.,1
"I disagree with your point, but I respect your opinion.",0
I'll be there in 10 minutes.,0
I learned something new from your post.,0
Shut up and leave.,1
You are a terrible person.,1
"I disagree with your point, but I respect your opinion.",0
Thank you for being so kind.,0
"Don't give up, you're doing great.",0
I think i really appreciate your help.,0
I love working with you.,0
I think i think there might be a better approach to this.,0
I believe in you.,0
YOU'RE A PIECE OF S***.,1
Has anyone tried this approach before? Please.,0
I learned something new from your post.,0
Has anyone tried this approach before?,0
The weather is nice today.,0
People like you shouldn't exist.,1
This is a great day!,0
I think the weather is nice today.,0
Thank you for being so kind.,0
Go kill yourself.,1
I'm going to find you.,1
F*** you and everything you stand for.,1
I'm going to find you.,1
I really appreciate your help.,0
"Really, i'm going to find you.",1
I really appreciate your help.,0
Has anyone tried this approach before? Please.,0
You're worthless.,1
You're absolutely pathetic.,1
You're such an idiot.!!!,1
Can you share the document?,0
I hate you!,1
"Please, thanks for the update.",0
You're absolutely pathetic.,1
I'll be there in 10 minutes. Please.,0
Have you considered this alternative perspective?,0
I think how was your weekend?,0
I'll be there in 10 minutes.,0
Has anyone tried this approach before?,0
You're going to regret this.,1
"Please, i love working with you.",0
What time does the meeting start?,0
I learned something new from your post.,0
You're worthless.,1
I really appreciate your help.,0
You don't belong here.,1
